 say made flight poor non communic unaccount lost time amp lot frustrat flyer stand around,negative
 think dm would better,negative
 gate announc state delay due mainten yet app say late flight arriv aircraft tell truth,negative
 easili worst compani ever experienc lost someon person possess amp care less,negative
 app show arriv aircraft earli depart flight delay due late flight arriv aircraft,negative
 alreadi airport hrs late flightr still guy realli kill today tri stay posit,negative
 unit servic level reach etihad let realist lufthansa ill consid,negative
 realli someon call sick someon forgot call replac hour late flight take theworst,negative
 ask flight attend typic compens would amp say might get free tv unaccept,negative
 done,neutral
 thank jh appreci prompt respons passeng,neutral
 disappoint today simpli put rather unpleas thing current flight delay cant wait get home,negative
 round trip non english speak friend strand twice hour time staff member rude,negative
 found group peopl actual hate peopl isi that right unit airlin,negative
 nope walk amp orf termin amp unit agent found show last minut board us mani panick peopl,negative
 thank,positive
 time final get dalla could driven less frustrat cheaper,negative
 tri get final destin need compens hrs person time wast,negative
 guy realli custom servic clue could spent effort clear bin rollerboard instead art project mine,negative
 prioriti iov,positive
 pleas premier platinum,positive
 put bag plane seattl flight wait line talk someon bag status matter,negative
 hahaha american compani would say great sarcasm,negative
 think actual like screen,negative
 appar ask peopl board plane big miscalcul made,negative
 shame choos unit may differ reunit age friend never see poorservic,negative
 hi guy general enquir email address pleas thank david,neutral
 check status claim go month attent upset,negative
 flight delay due mainten lit caus miss connect iah msi help,negative
 unitedairlin pls fix aspenbaggagefail issu pay way aspen flight cancel flight left us cold den,negative
 read bio see work never encount airlin disappoint understat,negative
 custom care email phone rep speak mani issu place charact,negative
 thank _tall certain take look pleas follow dm confirm number assist jh,positive
 process recov car rental condo rental florida call unit altern flight noanswer,negative
 buy yo seat leg intl trip car seat requir allow child still sit w mom takeoff,neutral
 thank listen definit person line thought absurd,positive
 wait tarmac gt hr appar ua1116 overweight amp return gate wtf fb,negative
 thank mention board ask person measur bag anoth woman men ask,negative
 leav tarmac unit gate agent cannot agre head count min count peopl max epicfailunit,negative
 real dedic amp concern apolog fix issu miser issu past mos,negative
 block dm ing would rather complain public forum,negative
 ok submit thank opportun give feedback,positive
 big thank ms winston assist phone baggag claim issu today realli went extra mile,positive
 soon done articl thank tom,positive
 book flight charg twice mean redeem cc point proper would gone elsewher,negative
 ton problem get bag given run around day what,negative
 pedophil airlin split yr old daughter row apart flight boston,negative
 wait day militari bag airport hour away horribl,negative
 arriv minut earli nice equip readi wait minut luggag far time gain wipe,negative
 musician real dirti lax never block get flight bass,negative
 rebook line peopl deep,negative
 play along home,neutral
 yes said took hour,negative
 whose pay actual fli k year deserv better servic cc holder,negative
 ok thank help,positive
 happi flyer ua flight sfo cleveland sunday stay tune blog articl,negative
 thank _r44 question wait time baggag ua6366,neutral
 flight plane sfo den basic time,positive
 thank program comment system assign seat behind even though pair avail chang back,positive
 min delay flt sfo load pax make sens strand mani us overnight ord due miss cnxns,negative
 head check bag check arriv claim peopl bag,negative
 must drone understand frustrat bag team work hard get bag,negative
 chang made hour someth taken second onlin thrill love agent though,negative
 flight attend understand understand english mean deaf stop yell english slowli,negative
 appropri ask public henc dm unit employe new answer process hassl cancel flight,negative
 well big terribl high expect point,negative
 like tri make hate airlin fee check bag never mention ticket rude agent,negative
 nice app say us delay weather pilot say wait fuel one ur control one,negative
 pleas robin ewr premier desk help get earlier flight work huge thank,positive
 ok thank provid complimentari hotel accommod sinc stay overnight,negative
 origin tri share detail link jimmi samartzi vice presid custom experi sent expir,negative
 realli hr delay gate chang amp board us sent us back amp board us chang flight go,negative
 would help integr app activ surf,positive
 ac went minut return mojav desert pressurecook heattrap,negative
 nope still one help give unit badservic,negative
 jon thank,neutral
 airlin caus miss connect u would think would take whatev step remedi screw,negative
 thank help take hour repli get messag middl night actual help,negative
 flight ua1270 descend farc left ewr yet go get wors,negative
 told due ua23 fli direct dublin go london complet shambl,negative
 min ewr baggag claim stillnobag ridicul,negative
 flight book problem travel writer trip host need happi land cute pjs aa,neutral
 see aa,neutral
 find thank,neutral
 standbi denver delay confirm aspen whose flight cancel flight day confid,negative
 yes back plane delay due baggag load issu,negative
 pt u cancel flight final got stndbi pm flight day missedwork clientnothappi,negative
 thank kind agent went amp beyond get strand famili home,positive
 see justifi cost get earli flight seat airlin charg conveni get passeng earli,negative
 woke notif flight move hrs earli bare made flight hrs layov sfo want hop earlier option,negative
 delay baggag claim land hope bag broken damag lost w c result complaint,negative
 done want send screen shot second call minut,negative
 look beauti dc unit airlin,positive
 thank fill form soon land like dupe hope appreci feedback amp better,negative
 line denver rebook due weather issu better,negative
 one suffer understand delay understand tri speed process delay extent,negative
 cancel flight flight late flightr agent claim put new flight cancel flight cowork got flight delay,negative
 urgenc ridicul ceo claim custom focus yet delay happen plane sit custom,negative
 ask full refund delay hour give reason enough give partial credit,negative
 flight schedul move never flight everyon move without sens,negative
 ok thx,positive
 dm confirm g8cvwj pleas way make kailua tonight thank,neutral
 go hell,negative
 sinc bulkhead seat cannot bag floor u reserv head space seat b ua246 impress,negative
 definit,neutral
 would help could refresh board time info board pass delay flight,negative
 flight far year delay includ cancel flightat late flightst reason crew need mandatori sleep mexico,negative
 great hear thankyou much great appreci repli feel much settl,positive
 counter agent rdu deserv medal thankyou,positive
 saga bag delay w reunion forc go shop stay tune,negative
 flight ord gate agent tri prevent take onboard bag use year flight crew reason,negative
 thank liter call preboard ran,positive
 guy split charg credit card make unnecessarili expens peopl fli guy pts,negative
 ua381 feb point oversel flight bad make peopl wait hr kick board wors,negative
 brilliant thankyou much class part carryon,positive
 gate ua5396 leav,neutral
 thank listen compliant right thing appreci work,positive
 sinc cancel flightl flight twice,negative
 chanc wait ord afternoon anoth flight screw hold,negative
 ua5396 wait ground tri get gate move b crap,negative
 mex nrt date tbd get usd differ quotat septemb compar mex bkk,negative
 fail save day,neutral
