 said,neutral
 plus ad commerci experi tacki,positive
 today must mean need take anoth trip,negative
 realli aggress blast obnoxi entertain guest face amp littl recours,negative
 realli big bad thing,positive
 serious would pay flight seat play realli bad thing fli va,negative
 yes near everi time fli vx ear worm go away,negative
 realli miss prime opportun men without hat parodi,negative
 well,positive
 amaz arriv hour earli good,positive
 know suicid second lead caus death among teen,neutral
 lt pretti graphic much better minim iconographi,positive
 great deal alreadi think nd trip amp even gone st trip yet p,negative
 fli fabul seduct sky u take stress away travel,positive
 thank,positive
 sfo pdx schedul still mia,neutral
 excit first cross countri flight lax mco heard noth great thing virgin america daystogo,positive
 flew nyc sfo last week fulli sit seat due two larg gentleman either side help,negative
 fli,neutral
 know would amaz awesom bos fll pleas want fli,positive
 first fare may three time carrier seat avail select,negative
 love graphic,positive
 love hipster innov feel good brand,positive
 make bos gt las non stop perman anytim soon,neutral
 guy mess seat reserv seat friend guy gave seat away want free internet,negative
 status match program appli three week call email respons,negative
 happen ur vegan food option least say ur site know abl eat anyth next hrs fail,negative
 miss worri togeth soon,neutral
 amaz get cold air vent vx358 noair worstflightev roast sfotobo,positive
 lax ewr middl seat red eye noob maneuv sendambien andchexmix,neutral
 hi bked cool birthday trip add elev caus enter middl name flight book problem,neutral
 hour oper club sfo post onlin current,negative
 help left expens headphon flight iad lax today seat one answer l amp f number lax,negative
 await return phone call would prefer use onlin self servic option,negative
 great news america could start flight hawaii end year via,neutral
 nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperi,neutral
 moodlight way fli best experi ever cool calm moodlitmonday,positive
 done done best airlin around hand,positive
 book flight hawaii,neutral
 chat support work site,neutral
 view downtown los angel hollywood sign beyond rain mountain,positive
 hey first time flyer next week excit hard time get flight ad elev account help,positive
 plz help win bid upgrad flight lax gt sea,neutral
 unus ticket move new citi fli fli expir travelhelp,neutral
 flight leav dalla seattl time feb,neutral
 elevategold good reason rock,positive
 dream,neutral
 wow blew mind,positive
 last night tribut soundofmus oscars2015 think agre,positive
 entertain,positive
 flight way suppos take minut ago websit still show time flight thank,negative
 juli andrew way though impress,positive
 wish flew atlanta soon,positive
 juli andrew hand,positive
 flight leav dalla la februari th,neutral
 hi excit lga gt dal deal tri book sinc last week amp page never load thx,negative
 know need spotifi stat guiltypleasur,neutral
 ladi gaga amaz,positive
 carri,neutral
 new market song let us know think,neutral
 juli andrew first ladi gaga wow last night carri meh,positive
 call week ago ad flight elev still shown help,negative
 great go carrieunderwood,positive
 sorri mari martin first,positive
 love three realli beat classic,positive
 flight dal dca pm tri check could status pleas,neutral
 heyyyi guyyyi tri get hour someon call pleas,negative
 hi virgin hold minut earlier flight la nyc tonight earlier pm,neutral
 congrat win award best deal airlin us,positive
 everyth fine lost bag,negative
 need chang reserv virgin credit card need modifi phone waiv chang fee onlin,neutral
 email custom servic team let know need track number,negative
 hi book flight need add baggag,neutral
 airlin awesom lax loft need step game dirti tabl floor,negative
 worri great ride new plane great crew airlin like,positive
 awesom flew yall sat morn way correct bill,positive
 watch best student film countri feet cmfat35000feet,neutral
 first time fli differ rate polici media bag thank,neutral
 go custom servic anyway speak human asap thank,negative
 happen doom,neutral
 supp biz travel like custom servic like neverflyvirginforbusi,negative
 appli member inflight crew team im interest flightattend dreampath g,neutral
 best whenev begrudg use airlin delay late flight,negative
 interest fli cancel flight next four flight plan neverflyvirginforbusi,negative
 disappoint experi share everi busi travel meet neverflyvirgin,negative
 troubl ad flight wife book elev account help,neutral
 bring reserv onlin use flight book problem code,neutral
 random q distribut elev avatar bet kitti disproportion share,neutral
 lt fli va life happen tri chang trip jperhi help va home page let,negative
 site back,neutral
 rnp yeah know,neutral
 hi get point elev account recent flight add flight point account,neutral
 like tv interest video disappoint cancel flightl flight flight went jfk saturday,negative
 land lax hour late flight bag check busi travel friend nomorevirgin,negative
 flight redirect,negative
 websit btw new websit great user experi time anoth redesign,positive
 check add bag websit work tri desktop mobil,negative
 let scan passeng leav plane told someon remov bag st class bin uncomfort,negative
 phone number find call flight reserv,negative
 anyon anyth today websit useless one answer phone,negative
 tri add boy princ ressi sf thursday lax,neutral
 must travel miss flight late flight check bag miss morn appoint lost busi sfo2lax,negative
 check new music,neutral
 direct flight fll gt sfo unexpect layov vega fuel yet peep next bought vega flight sneaki,neutral
 late flight bag check lost busi miss flight apt three peopl flight exp,negative
 amaz custom servic raeann sf best customerservic virginamerica fli,positive
 call servic line hung awesom sarcasm,negative
 site trip tri check get plain text version reluct enter card info,neutral
 schedul sfo dal flight today chang th due weather look like flight still,neutral
 getaway deal may one way lot cool citi cheapflight farecompar,positive
 getaway deal may one way lot cool citi cheapflight farecompar,positive
 getaway deal may one way lot cool citi cheapflight farecompar,positive
 getaway deal may one way lot cool citi cheapflight farecompar,positive
 great week,positive
 come back phl alreadi need take us horribl cold pleasecomeback,negative
 concern fli plane need delay due tech stop,negative
 best airlin flown easi chang reserv help repres amp comfort fli experi,positive
 anoth rep kick butt naelah repres team beauti thank,positive
 beauti front end design right cool still book ticket b c back end secur,negative
 love team run gate e9 las tonight wait delay flight kept thing entertain,positive
 use anoth browser amp brand reput built tech respons cross browser compat websit,positive
 flight flight book problem site total folk problem,negative
 like custom servic min delay connect passeng seem long va370,negative
 thank outstand nyc jfk crew move mountain get home san francisco tonight,positive
 absolut best team custom servic ever everi time fli delight thank,positive
 provid complimentari upgrad first class avail seat,neutral
 need chang flight that schedul hour min wait time phone im call intern help,negative
 complet awesom experi last month bos las nonstop thank awesom flight depart time vabeatsjblu,positive
 watch oscars2015 jfk gt sfo flight,neutral
 flight cancel flightl,negative
 fail custom check process link tsa pre check,negative
